"gene","module"
"SKI","black"
"NPHP4","black"
"PLEKHG5","black"
"ENSG00000284642","black"
"AGTRAP","black"
"MTHFR","black"
"KAZN","black"
"ALDH4A1","black"
"PINK1-AS","black"
"EIF4G3","black"
"PNRC2","black"
"NIPAL3","black"
"ENSG00000270605","black"
"MED18","black"
"FABP3","black"
"KIAA1522","black"
"AGO3","black"
"SF3A3","black"
"FHL3","black"
"UTP11","black"
"MIR3659HG","black"
"RRAGC","black"
"ENSG00000226438","black"
"SMAP2","black"
"ELOVL1","black"
"MED8","black"
"ZSWIM5","black"
"MUTYH","black"
"GPBP1L1","black"
"TMEM69","black"
"IPP","black"
"TXNDC12","black"
"CZIB-DT","black"
"ENSG00000287724","black"
"DOCK7","black"
"JAK1","black"
"KYAT3","black"
"GBP4","black"
"C1orf146","black"
"ALG14","black"
"MFSD14A","black"
"SASS6","black"
"LRRC39","black"
"GNAI3","black"
"SLC16A4-AS1","black"
"MOV10","black"
"LRIG2","black"
"DENND2C","black"
"SEC22B","black"
"PEX11B","black"
"ANKRD34A","black"
"ENSG00000289614","black"
"ENSG00000290791","black"
"ENSG00000285184","black"
"RPRD2","black"
"GOLPH3L","black"
"CTSK","black"
"CERS2","black"
"BNIPL","black"
"PI4KB","black"
"TDRKH","black"
"KCNN3","black"
"EFNA1","black"
"MTX1","black"
"SCAMP3","black"
"ASH1L","black"
"KHDC4","black"
"ARHGEF2","black"
"SLC25A44","black"
"ISG20L2","black"
"DDR2","black"
"RGS5-AS1","black"
"TADA1","black"
"DNM3OS","black"
"KLHL20","black"
"CENPL","black"
"RGL1","black"
"APOBEC4","black"
"LINC01036","black"
"RO60","black"
"LHX9","black"
"NEK7","black"
"LINC00862","black"
"PPP1R15B","black"
"DSTYK","black"
"NSL1","black"
"FLVCR1-DT","black"
"CENPF","black"
"IARS2","black"
"TAF1A","black"
"TAF1A-AS1","black"
"BROX","black"
"LINC01703","black"
"LIN9","black"
"C1orf198","black"
"ENSG00000227230","black"
"SDCCAG8","black"
"ENSG00000259865","black"
"ZNF496","black"
"ZNF496-DT","black"
"RRM2","black"
"ROCK2","black"
"MYCN","black"
"RAB10","black"
"DRC1","black"
"DPYSL5","black"
"GTF3C2","black"
"GPN1","black"
"WDR43","black"
"LCLAT1","black"
"SPAST","black"
"SLC30A6-DT","black"
"YIPF4","black"
"BIRC6","black"
"ENSG00000289013","black"
"ABCG5","black"
"ENSG00000286412","black"
"PPP4R3B","black"
"REL","black"
"USP34","black"
"ENSG00000236498","black"
"EHBP1","black"
"C2orf42","black"
"ZNF638","black"
"ENSG00000289463","black"
"DYSF","black"
"SMYD5","black"
"ENSG00000217702","black"
"MOB1A","black"
"LRRTM4-AS1","black"
"TCF7L1","black"
"VAMP8","black"
"EIF2AK3","black"
"ENSG00000290846","black"
"STARD7","black"
"NCAPH","black"
"LIPT1","black"
"EIF5B","black"
"ENSG00000288948","black"
"ENSG00000243389","black"
"RALB","black"
"GLI2","black"
"CLASP1","black"
"NIFK","black"
"AMMECR1L","black"
"FAM168B","black"
"ENSG00000272769","black"
"CCNT2","black"
"R3HDM1","black"
"ORC4","black"
"ENSG00000222031","black"
"PRPF40A","black"
"GALNT13","black"
"TTC21B","black"
"PPIG","black"
"ENSG00000289296","black"
"ENSG00000236449","black"
"CWC22","black"
"FRZB","black"
"ENSG00000272800","black"
"ENSG00000287129","black"
"COL5A2","black"
"OSGEPL1-AS1","black"
"CLK1","black"
"FZD7","black"
"KIAA2012","black"
"NOP58","black"
"ABI2","black"
"INO80D-AS1","black"
"ENSG00000227769","black"
"LINC01963","black"
"ANKZF1","black"
"HTR2B","black"
"GIGYF2","black"
