"X","term_name","source","p_value","gene","gene_module","gene_log2FC","padj","M1 immune system process","M2 cytokine production","M3 response to cytokine","M4 PI3K-Akt signaling pathway","M5 regulation of MAPK cascade","M6 nervous system development","M7 regulation of RNA metabolic process","004-A","004-B","004-C","004-185-KD-A","004-185-KD-B","004-185-KD-C","ref_mean","comp_mean"
7,"M1 immune system process","GO:BP",0.00156741169706172,"ITGB8","ITGB8_M1",1.68202251050562,2.92209850795987e-05,1,0,0,1,0,0,0,-0.0541033537765809,-0.0526789276210575,-0.0113921590670554,0.0577782222172996,0.0968252754443082,-0.0364290571969139,-0.0393914801548979,0.039391480154898
12,"M1 immune system process","GO:BP",0.00156741169706172,"FN1","FN1_M1",1.89654278624972,0.000237458541642925,1,1,0,1,1,1,0,-0.000302508303255067,-0.111136500482584,0.00084436298914703,0.0796473092952947,0.0961166440284948,-0.0651693075270963,-0.0368648819322305,0.0368648819322311
14,"M1 immune system process","GO:BP",0.00156741169706172,"IL32","IL32_M1",1.7256363047981,0.000482771475237302,1,1,0,0,0,0,0,-0.0492986213161695,-0.117133670557439,0.033163471941914,-0.111864662243314,0.105418093948821,0.139715388226186,-0.0444229399772314,0.0444229399772308
15,"M1 immune system process","GO:BP",0.00156741169706172,"ETS1","ETS1_M1",1.92194049274273,0.000877181573139032,1,0,0,0,0,0,1,-0.144166144459449,-0.017978937621737,-0.2637553482968,0.105384852436726,0.284987441853389,0.0355281360878683,-0.141966810125995,0.141966810125994
16,"M1 immune system process","GO:BP",0.00156741169706172,"CYP26B1","CYP26B1_M1",1.35795897085939,0.00172061221629227,1,0,0,0,0,0,0,-0.0385905396177915,0.012045284920319,-0.165516200487305,0.0618405354189289,0.0368076843799034,0.0934132353859471,-0.0640204850615926,0.0640204850615931
19,"M1 immune system process","GO:BP",0.00156741169706172,"ITGA1","ITGA1_M1",1.16014957370354,0.0234986950179408,1,0,0,1,1,1,0,0.0821422876260405,-0.12400217577431,-0.227376969302282,0.124812235736864,0.190054554308106,-0.0456299325944194,-0.0897456191501839,0.0897456191501836
20,"M1 immune system process","GO:BP",0.00156741169706172,"EPAS1","EPAS1_M1",1.09100448066124,0.032921587095028,1,0,0,0,0,0,1,-0.0739360801552644,0.0277377347808017,-0.217058582770314,0.0306479924660863,0.126498957718002,0.106109977960692,-0.0877523093815924,0.0877523093815936
25,"M2 cytokine production","GO:BP",0.0207970963379881,"FN1","FN1_M2",1.89654278624972,0.000237458541642925,1,1,0,1,1,1,0,-0.000302508303255067,-0.111136500482584,0.00084436298914703,0.0796473092952947,0.0961166440284948,-0.0651693075270963,-0.0368648819322305,0.0368648819322311
26,"M2 cytokine production","GO:BP",0.0207970963379881,"IL32","IL32_M2",1.7256363047981,0.000482771475237302,1,1,0,0,0,0,0,-0.0492986213161695,-0.117133670557439,0.033163471941914,-0.111864662243314,0.105418093948821,0.139715388226186,-0.0444229399772314,0.0444229399772308
27,"M2 cytokine production","GO:BP",0.0207970963379881,"IGF2BP1","IGF2BP1_M2",1.08792041976996,0.0102718078319184,0,1,0,0,0,1,1,-0.175187555416905,-0.35455163764523,-0.135772436893872,0.209593013582232,0.207134246145282,0.248784370228492,-0.221837209985335,0.221837209985335
