"","term_name","source","p_value","intersection_gene","gene","gene_log2FC","padj"
"1","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"C22orf39","C22orf39_M1",-1.19964205875868,6.05376398567743e-14
"2","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRIN1","GRIN1_M1",-1.5818828790215,5.72938739141557e-09
"3","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"PLPPR4","PLPPR4_M1",-1.55155659273804,2.50964558568601e-08
"4","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRM5","GRM5_M1",-1.56643876932946,4.56924104225646e-06
"5","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"COMT","COMT_M1",-2.39484530089081,1.08490442487956e-05
"6","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"SNCA","SNCA_M1",-1.11242234724162,1.83605556638571e-05
"7","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"LYNX1","LYNX1_M1",-1.33219012575552,3.14053657554549e-05
"8","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"SLC4A10","SLC4A10_M1",-1.09055271319471,0.000204039184351963
"9","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"FAM107A","FAM107A_M1",-1.26773150123051,0.000474949087604184
"10","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"KCNJ10","KCNJ10_M1",-1.55530387894029,0.00619309858812433
"11","M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRIA3","GRIA3_M1",-1.2151796424506,0.00883058083435267
"12","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"C22orf39","C22orf39_M2",-1.19964205875868,6.05376398567743e-14
"13","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"GRIN1","GRIN1_M2",-1.5818828790215,5.72938739141557e-09
"14","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"PLPPR4","PLPPR4_M2",-1.55155659273804,2.50964558568601e-08
"15","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"GRM5","GRM5_M2",-1.56643876932946,4.56924104225646e-06
