"","term_name","source","p_value","intersection_gene","gene","gene_log2FC","padj"
"1","M1 immune system process","GO:BP",0.00156741169706172,"TRIM56","TRIM56_M1",1.27813151002529,2.11806115518211e-10
"2","M1 immune system process","GO:BP",0.00156741169706172,"IGF2","IGF2_M1",4.18061396888521,1.44697359139455e-08
"3","M1 immune system process","GO:BP",0.00156741169706172,"SIX1","SIX1_M1",8.14474949748422,5.36780487222202e-08
"4","M1 immune system process","GO:BP",0.00156741169706172,"CXCR4","CXCR4_M1",1.54081070781431,3.218704730156e-06
"5","M1 immune system process","GO:BP",0.00156741169706172,"SERPINE1","SERPINE1_M1",2.38135026174165,1.47402448959599e-05
"6","M1 immune system process","GO:BP",0.00156741169706172,"RBM47","RBM47_M1",1.51404232903691,2.05126472356165e-05
"7","M1 immune system process","GO:BP",0.00156741169706172,"ITGB8","ITGB8_M1",1.68202251050562,2.92209850795987e-05
"8","M1 immune system process","GO:BP",0.00156741169706172,"TGFBR2","TGFBR2_M1",1.82742195002922,4.2843592796252e-05
"9","M1 immune system process","GO:BP",0.00156741169706172,"SOX13","SOX13_M1",1.4038604644205,0.000164413282397213
"10","M1 immune system process","GO:BP",0.00156741169706172,"CCR7","CCR7_M1",1.82878653235917,0.000164696144852758
"11","M1 immune system process","GO:BP",0.00156741169706172,"PDPN","PDPN_M1",1.37683394125294,0.00020263354342181
"12","M1 immune system process","GO:BP",0.00156741169706172,"FN1","FN1_M1",1.89654278624972,0.000237458541642925
"13","M1 immune system process","GO:BP",0.00156741169706172,"CXCL12","CXCL12_M1",2.65155143303629,0.000246768789648896
"14","M1 immune system process","GO:BP",0.00156741169706172,"IL32","IL32_M1",1.7256363047981,0.000482771475237302
"15","M1 immune system process","GO:BP",0.00156741169706172,"ETS1","ETS1_M1",1.92194049274273,0.000877181573139032
"16","M1 immune system process","GO:BP",0.00156741169706172,"CYP26B1","CYP26B1_M1",1.35795897085939,0.00172061221629227
"17","M1 immune system process","GO:BP",0.00156741169706172,"SOCS3","SOCS3_M1",1.25164725047815,0.00207868319364024
"18","M1 immune system process","GO:BP",0.00156741169706172,"CMTM7","CMTM7_M1",2.77129321469908,0.00588276453382672
"19","M1 immune system process","GO:BP",0.00156741169706172,"ITGA1","ITGA1_M1",1.16014957370354,0.0234986950179408
"20","M1 immune system process","GO:BP",0.00156741169706172,"EPAS1","EPAS1_M1",1.09100448066124,0.032921587095028
"21","M2 cytokine production","GO:BP",0.0207970963379881,"TRIM56","TRIM56_M2",1.27813151002529,2.11806115518211e-10
