"X","term_name","source","p_value","gene","gene_module","gene_log2FC","padj","22q002-A","22q002-B","22q002-C","22q002-128-OE-A","22q002-128-OE-B","22q002-128-OE-C","ref_mean","comp_mean"
2,"M1 immune system process","GO:BP",0.00156741169706172,"WNT5A","WNT5A_M1",1.80049446105006,7.59670017882382e-06,-0.0388614426685514,0.187111694425871,0.0450662404226403,-0.156753504112739,0.133006495417494,-0.169569483484718,0.0644388307266534,-0.0644388307266546
3,"M1 immune system process","GO:BP",0.00156741169706172,"SERPINE1","SERPINE1_M1",2.38135026174165,1.47402448959599e-05,0.270636300283204,0.176600323786023,-0.0883060045219457,-0.211957983691152,-0.116627485633336,-0.0303451502227885,0.119643539849094,-0.119643539849092
6,"M1 immune system process","GO:BP",0.00156741169706172,"TGFBR2","TGFBR2_M1",1.82742195002922,4.2843592796252e-05,-0.239261207531011,0.385953052541391,0.0856222536515334,-0.133855343011138,-0.0770820928661138,-0.0213766627846637,0.0774380328873043,-0.0774380328873052
7,"M1 immune system process","GO:BP",0.00156741169706172,"LGR4","LGR4_M1",1.35592251012757,0.000154721548714736,0.139970349709474,0.0363244471131292,0.115739240639632,-0.0954883351493354,0.0242784870411299,-0.220824189354028,0.0973446791540784,-0.0973446791540778
8,"M1 immune system process","GO:BP",0.00156741169706172,"PDPN","PDPN_M1",1.37683394125294,0.00020263354342181,0.246326845816706,0.991858140751402,0.730819278573002,-0.656334755047038,-0.656334755047038,-0.656334755047038,0.656334755047037,-0.656334755047038
9,"M1 immune system process","GO:BP",0.00156741169706172,"FN1","FN1_M1",1.89654278624972,0.000237458541642925,0.694013031290961,0.546517963971935,0.706059822318897,-0.645708942461273,-0.576455677609343,-0.72442619751118,0.648863605860598,-0.648863605860599
10,"M1 immune system process","GO:BP",0.00156741169706172,"CXCL12","CXCL12_M1",2.65155143303629,0.000246768789648896,-0.135431980539168,0.393641983589512,0.0966601088012533,0.223379470373671,-0.432569018256701,-0.145680563968566,0.118290037283866,-0.118290037283865
13,"M1 immune system process","GO:BP",0.00156741169706172,"COL3A1","COL3A1_M1",5.15347121954818,0.000688927046518491,0.0720232882327538,-0.145237996194009,0.0883905923164008,-0.043131316022003,0.0637353500200142,-0.0357799183531524,0.00505862811838191,-0.00505862811838043
17,"M1 immune system process","GO:BP",0.00156741169706172,"HLA-B","HLA-B_M1",1.41367127804783,0.0110530488016648,0.664088728535014,0.0746786001306798,0.238281295857688,-0.516227059045457,-0.303163123046062,-0.157658442431866,0.325682874841127,-0.325682874841128
18,"M1 immune system process","GO:BP",0.00156741169706172,"NKX3-2","NKX3-2_M1",2.12914815786364,0.0162440709581763,-0.11996718224094,-0.11996718224094,0.312947456916564,-0.11996718224094,-0.11996718224094,0.166921272047196,0.0243376974782284,-0.0243376974782278
20,"M1 immune system process","GO:BP",0.00156741169706172,"SIX4","SIX4_M1",1.25517570212489,0.018808009394175,0.0930639587310136,0.177121121409581,-0.00259727281601663,-0.191909608196335,0.127720379029759,-0.203398578158001,0.0891959357748592,-0.0891959357748592
23,"M2 cytokine production","GO:BP",0.0207970963379881,"WNT5A","WNT5A_M2",1.80049446105006,7.59670017882382e-06,-0.0388614426685514,0.187111694425871,0.0450662404226403,-0.156753504112739,0.133006495417494,-0.169569483484718,0.0644388307266534,-0.0644388307266546
24,"M2 cytokine production","GO:BP",0.0207970963379881,"SERPINE1","SERPINE1_M2",2.38135026174165,1.47402448959599e-05,0.270636300283204,0.176600323786023,-0.0883060045219457,-0.211957983691152,-0.116627485633336,-0.0303451502227885,0.119643539849094,-0.119643539849092
26,"M2 cytokine production","GO:BP",0.0207970963379881,"LGR4","LGR4_M2",1.35592251012757,0.000154721548714736,0.139970349709474,0.0363244471131292,0.115739240639632,-0.0954883351493354,0.0242784870411299,-0.220824189354028,0.0973446791540784,-0.0973446791540778
27,"M2 cytokine production","GO:BP",0.0207970963379881,"FN1","FN1_M2",1.89654278624972,0.000237458541642925,0.694013031290961,0.546517963971935,0.706059822318897,-0.645708942461273,-0.576455677609343,-0.72442619751118,0.648863605860598,-0.648863605860599
28,"M2 cytokine production","GO:BP",0.0207970963379881,"COL3A1","COL3A1_M2",5.15347121954818,0.000688927046518491,0.0720232882327538,-0.145237996194009,0.0883905923164008,-0.043131316022003,0.0637353500200142,-0.0357799183531524,0.00505862811838191,-0.00505862811838043
32,"M2 cytokine production","GO:BP",0.0207970963379881,"HLA-B","HLA-B_M2",1.41367127804783,0.0110530488016648,0.664088728535014,0.0746786001306798,0.238281295857688,-0.516227059045457,-0.303163123046062,-0.157658442431866,0.325682874841127,-0.325682874841128
34,"M3 response to cytokine","GO:BP",0.000176105486992348,"WNT5A","WNT5A_M3",1.80049446105006,7.59670017882382e-06,-0.0388614426685514,0.187111694425871,0.0450662404226403,-0.156753504112739,0.133006495417494,-0.169569483484718,0.0644388307266534,-0.0644388307266546
36,"M3 response to cytokine","GO:BP",0.000176105486992348,"CXCL12","CXCL12_M3",2.65155143303629,0.000246768789648896,-0.135431980539168,0.393641983589512,0.0966601088012533,0.223379470373671,-0.432569018256701,-0.145680563968566,0.118290037283866,-0.118290037283865
38,"M3 response to cytokine","GO:BP",0.000176105486992348,"COL3A1","COL3A1_M3",5.15347121954818,0.000688927046518491,0.0720232882327538,-0.145237996194009,0.0883905923164008,-0.043131316022003,0.0637353500200142,-0.0357799183531524,0.00505862811838191,-0.00505862811838043
40,"M3 response to cytokine","GO:BP",0.000176105486992348,"MME","MME_M3",1.33812119121027,0.00244487605628079,-0.103618610755635,0.556369806437575,0.161651049234698,-0.208470990576867,-0.282121289475717,-0.123809964864052,0.204800748305546,-0.204800748305545
42,"M3 response to cytokine","GO:BP",0.000176105486992348,"GHR","GHR_M3",1.25309585227618,0.00381885397107341,0.158290299511234,0.418865161074195,0.0538637623327194,-0.38279810431693,-0.0531881872146514,-0.19503293138656,0.210339740972716,-0.210339740972714
43,"M3 response to cytokine","GO:BP",0.000176105486992348,"HAS2","HAS2_M3",1.20201607225576,0.00567146249630345,0.949019047227319,0.290219980754028,0.678327946959015,-0.410599976762484,-0.896927726233007,-0.610039271944872,0.639188991646787,-0.639188991646787
45,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"CCND1","CCND1_M4",3.20395887531381,4.84288194503422e-11,0.781293116498712,0.568377159467454,0.701765705312979,-0.383606519623835,-0.771937547520407,-0.895891914134904,0.683811993759715,-0.683811993759715
48,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"COL2A1","COL2A1_M4",3.12136410515517,3.18736436780571e-05,-0.124072364558906,0.255433724728612,0.143170296181169,0.306472210960684,-0.393980012563094,-0.18702385474847,0.0915105521169585,-0.09151055211696
