"term_name","source","p_value","gene","gene_module","gene_log2FC","padj","22q002-A","22q002-B","22q002-C","22q002-DGCR8-OE-A","22q002-DGCR8-OE-B","22q002-DGCR8-OE-C","ref_mean","comp_mean"
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"C22orf39","C22orf39_M1",-1.19964205875868,6.05376398567743e-14,0.050514752987608,0.110544003589863,0.241018375700081,-0.148347727756853,-0.109402797153352,-0.144326607367345,0.134025710759184,-0.134025710759184
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRIN1","GRIN1_M1",-1.5818828790215,5.72938739141557e-09,0.218076440335262,0.335795508106067,0.372835590058154,-0.402705586161778,-0.277381113351508,-0.246620838986198,0.308902512833161,-0.308902512833161
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"PLPPR4","PLPPR4_M1",-1.55155659273804,2.50964558568601e-08,-0.252661634818208,-0.205067056179722,-0.264619932865308,0.211397660173791,0.248711333695526,0.262239629993918,-0.24078287462108,0.240782874621078
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRM5","GRM5_M1",-1.56643876932946,4.56924104225646e-06,0.0417022731092214,0.253796712439541,0.382364738012533,-0.398985304118562,0.0691234647489081,-0.348001884191642,0.225954574520432,-0.225954574520432
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"COMT","COMT_M1",-2.39484530089081,1.08490442487956e-05,-0.302938295707851,-0.558578081496532,-0.670110672228659,0.432126189237025,0.591449001996556,0.508051858199466,-0.510542349811014,0.510542349811016
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"SNCA","SNCA_M1",-1.11242234724162,1.83605556638571e-05,0.878345333648207,0.747605439735745,0.761585023203185,-0.83548328998865,-0.797282224201787,-0.754770282396699,0.795845265529046,-0.795845265529045
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"LYNX1","LYNX1_M1",-1.33219012575552,3.14053657554549e-05,0.859885697676075,0.772128249533054,0.784143343055932,-0.670792925750838,-0.831227951603807,-0.914136412910413,0.805385763421687,-0.805385763421686
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"SLC4A10","SLC4A10_M1",-1.09055271319471,0.000204039184351963,0.254487617677094,0.255475651219129,0.319764917696187,-0.277414324563079,-0.322158680153709,-0.230155181875633,0.27657606219747,-0.276576062197474
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"FAM107A","FAM107A_M1",-1.26773150123051,0.000474949087604184,0.401404770678847,0.442873350423251,0.436523314336826,0.0425794288171906,-0.802732490251884,-0.520648374004225,0.426933811812975,-0.426933811812973
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"KCNJ10","KCNJ10_M1",-1.55530387894029,0.00619309858812433,0.339557219662476,0.328176154370467,0.294223165212378,-0.40673527886822,-0.345128321843509,-0.21009293853359,0.32065217974844,-0.32065217974844
"M1 chemical synaptic transmission","GO:BP",3.80899823275861e-16,"GRIA3","GRIA3_M1",-1.2151796424506,0.00883058083435267,0.557058808628492,0.537738839706668,0.667745708024956,-0.529263896820476,-0.687031661583539,-0.546247797956092,0.587514452120038,-0.587514452120036
"M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"C22orf39","C22orf39_M2",-1.19964205875868,6.05376398567743e-14,0.050514752987608,0.110544003589863,0.241018375700081,-0.148347727756853,-0.109402797153352,-0.144326607367345,0.134025710759184,-0.134025710759184
"M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"GRIN1","GRIN1_M2",-1.5818828790215,5.72938739141557e-09,0.218076440335262,0.335795508106067,0.372835590058154,-0.402705586161778,-0.277381113351508,-0.246620838986198,0.308902512833161,-0.308902512833161
"M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"PLPPR4","PLPPR4_M2",-1.55155659273804,2.50964558568601e-08,-0.252661634818208,-0.205067056179722,-0.264619932865308,0.211397660173791,0.248711333695526,0.262239629993918,-0.24078287462108,0.240782874621078
"M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"GRM5","GRM5_M2",-1.56643876932946,4.56924104225646e-06,0.0417022731092214,0.253796712439541,0.382364738012533,-0.398985304118562,0.0691234647489081,-0.348001884191642,0.225954574520432,-0.225954574520432
"M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"COMT","COMT_M2",-2.39484530089081,1.08490442487956e-05,-0.302938295707851,-0.558578081496532,-0.670110672228659,0.432126189237025,0.591449001996556,0.508051858199466,-0.510542349811014,0.510542349811016
"M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"SNCA","SNCA_M2",-1.11242234724162,1.83605556638571e-05,0.878345333648207,0.747605439735745,0.761585023203185,-0.83548328998865,-0.797282224201787,-0.754770282396699,0.795845265529046,-0.795845265529045
